EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000298023223877,0,1,INITIAL_BUFFERING,Writing,45226
0.00380396842957,0,1,PLAY,InitialBuffering-Play,0
0.00448393821716,0,0,PLAY,StillPlaying,45226
0.346086978912,0,1,PLAY,Writing,88783.0
0.927855968475,0,2,PLAY,Writing,128503.0
1.77641797066,1,3,PLAY,Writing,177437.0
2.77989196777,2,4,PLAY,Writing,217761.0
3.7039000988,3,5,PLAY,Writing,255865.0
4.00543308258,4,4,PLAY,StillPlaying,88783.0
4.5870039463,4,5,PLAY,Writing,323047.0
6.61210298538,6,6,PLAY,Writing,378355.0
8.00540494919,8,5,PLAY,StillPlaying,128503.0
9.03937888145,9,6,PLAY,Writing,509091.0
11.6526958942,11,7,PLAY,Writing,577751.0
12.0053808689,12,6,PLAY,StillPlaying,177437.0
15.1942150593,15,7,PLAY,Writing,782553.0
16.0053720474,16,6,PLAY,StillPlaying,217761.0
20.0053858757,20,5,PLAY,StillPlaying,255865.0
20.0743129253,20,6,PLAY,Writing,1008699.0
23.7831089497,23,7,PLAY,Writing,782553.0
24.0053620338,24,6,PLAY,StillPlaying,323047.0
28.0055010319,28,5,PLAY,StillPlaying,378355.0
32.0054609776,32,4,PLAY,StillPlaying,509091.0
36.0054619312,36,3,PLAY,StillPlaying,577751.0
40.0054578781,40,2,PLAY,StillPlaying,782553.0
44.005920887,44,1,PLAY,StillPlaying,1008699.0
48.005450964,48,0,PLAY,StillPlaying,782553.0
52.0058290958,52,0,BUFFERING,Play-Buffering,0
54.9408268929,52,1,BUFFERING,Writing,1008699.0
54.9439129829,52,1,PLAY,Buffering-Play,0
54.9445500374,52,0,PLAY,StillPlaying,1008699.0
56.5442869663,53,1,PLAY,Writing,323047.0
57.3928949833,54,2,PLAY,Writing,378355.0
58.2962589264,55,3,PLAY,Writing,255865.0
58.9447610378,56,2,PLAY,StillPlaying,323047.0
59.160640955,56,3,PLAY,Writing,217761.0
59.8603758812,56,4,PLAY,Writing,177437.0
60.7287368774,57,5,PLAY,Writing,217761.0
61.9378430843,58,6,PLAY,Writing,255865.0
62.9448108673,60,5,PLAY,StillPlaying,378355.0
63.545799017,60,6,PLAY,Writing,323047.0
64.409610033,61,7,PLAY,Writing,378355.0
66.1233739853,63,8,PLAY,Writing,509091.0
66.9447629452,64,7,PLAY,StillPlaying,255865.0
67.5870680809,64,8,PLAY,Writing,577751.0
70.2648510933,67,9,PLAY,Writing,782553.0
70.9447910786,68,8,PLAY,StillPlaying,217761.0
73.9460299015,71,9,PLAY,Writing,1008699.0
74.9447820187,72,8,PLAY,StillPlaying,177437.0
77.3479819298,74,9,PLAY,Writing,782553.0
78.9447789192,76,8,PLAY,StillPlaying,217761.0
80.882600069,77,9,PLAY,Writing,1008699.0
82.9447748661,80,8,PLAY,StillPlaying,255865.0
84.2869429588,81,9,PLAY,Writing,782553.0
86.944865942,84,8,PLAY,StillPlaying,323047.0
89.0483500957,86,9,PLAY,Writing,1008699.0
90.9448199272,88,8,PLAY,StillPlaying,378355.0
92.5894720554,89,9,PLAY,Writing,782553.0
