EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000295877456665,0,1,INITIAL_BUFFERING,Writing,45226
0.00363683700562,0,1,PLAY,InitialBuffering-Play,0
0.0043568611145,0,0,PLAY,StillPlaying,45226
0.391230821609,0,1,PLAY,Writing,88783.0
1.01620984077,1,2,PLAY,Writing,128503.0
1.98638796806,1,3,PLAY,Writing,177437.0
3.15085101128,3,4,PLAY,Writing,217761.0
4.00514578819,4,3,PLAY,StillPlaying,88783.0
4.19386792183,4,4,PLAY,Writing,255865.0
5.23723983765,5,5,PLAY,Writing,323047.0
7.71987986565,7,6,PLAY,Writing,378355.0
8.00511693954,8,5,PLAY,StillPlaying,128503.0
10.669451952,10,6,PLAY,Writing,509091.0
12.0052428246,12,5,PLAY,StillPlaying,177437.0
13.9022889137,13,6,PLAY,Writing,577751.0
16.0051288605,16,5,PLAY,StillPlaying,217761.0
17.8367049694,17,6,PLAY,Writing,782553.0
20.0051898956,20,5,PLAY,StillPlaying,255865.0
21.51086092,21,6,PLAY,Writing,577751.0
24.0051829815,24,5,PLAY,StillPlaying,323047.0
25.9185669422,25,6,PLAY,Writing,782553.0
28.0051739216,28,5,PLAY,StillPlaying,378355.0
29.5896239281,29,6,PLAY,Writing,577751.0
32.0052227974,32,5,PLAY,StillPlaying,509091.0
35.3974988461,35,6,PLAY,Writing,782553.0
36.0051839352,36,5,PLAY,StillPlaying,577751.0
37.2506899834,37,6,PLAY,Writing,577751.0
40.0051867962,40,5,PLAY,StillPlaying,782553.0
42.1345419884,42,6,PLAY,Writing,782553.0
44.0051908493,44,5,PLAY,StillPlaying,577751.0
45.6972668171,45,6,PLAY,Writing,509091.0
48.0051679611,48,5,PLAY,StillPlaying,782553.0
49.1404838562,49,6,PLAY,Writing,577751.0
51.0345818996,51,7,PLAY,Writing,378355.0
52.0051119328,52,6,PLAY,StillPlaying,577751.0
53.6201729774,53,7,PLAY,Writing,509091.0
